"Year","All Categories - Class I-V - Boys","All Categories - Class I-V - Girls","All Categories - Class I-V - Total","All Categories - Class VI-VIII - Boys","All Categories - Class VI-VIII - Girls","All Categories - Class VI-VIII - Total","All Categories - Class IX-X - Boys","All Categories - Class IX-X - Girls","All Categories - Class IX-X - Total","All Categories - Class XI-XII - Boys","All Categories - Class XI-XII - Girls","All Categories - Class XI-XII - Total","Scheduled Caste Category - Class I-V - Boys","Scheduled Caste Category - Class I-V - Girls","Scheduled Caste Category - Class I-V - Total","Scheduled Caste Category - Class VI-VIII - Boys","Scheduled Caste Category - Class VI-VIII - Girls","Scheduled Caste Category - Class VI-VIII - Total","Scheduled Caste Category - Class IX-X - Boys","Scheduled Caste Category - Class IX-X - Girls","Scheduled Caste Category - Class IX-X - Total","Scheduled Caste Category - Class XI-XII - Boys","Scheduled Caste Category - Class XI-XII - Girls","Scheduled Caste Category - Class XI-XII - Total","Scheduled Tribe Category - Class I-V - Boys","Scheduled Tribe Category - Class I-V - Girls","Scheduled Tribe Category - Class I-V - Total","Scheduled Tribe Category - Class VI-VIII - Boys","Scheduled Tribe Category - Class VI-VIII - Girls","Scheduled Tribe Category - Class VI-VIII - Total","Scheduled Tribe Category - Class IX-X - Boys","Scheduled Tribe Category - Class IX-X - Girls","Scheduled Tribe Category - Class IX-X - Total","Scheduled Tribe Category - Class XI-XII - Boys","Scheduled Tribe Category - Class XI-XII - Girls","Scheduled Tribe Category - Class XI-XII - Total"
"1950-51",13.8,5.4,19.2,2.6,0.5,3.1,NA,NA,0,1.3,0.2,1.5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1955-56",17.1,7.5,24.6,3.8,1,4.8,NA,NA,0,2.2,0.4,2.6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1960-61",23.6,11.4,35,5.1,1.6,6.7,NA,NA,0,2.7,0.7,3.4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1965-66",32.2,18.3,50.5,7.7,2.8,10.5,NA,NA,0,4.4,1.3,5.7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1970-71",35.7,21.3,57,9.4,3.9,13.3,NA,NA,0,5.7,1.9,7.6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1975-76",40.6,25,65.6,11,5,16,NA,NA,0,6.5,2.4,8.9,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"1980-81",45.3,28.5,73.8,13.9,6.8,20.7,NA,NA,0,7.6,3.4,11,7.2,3.8,11,1.6,0.6,2.2,NA,NA,0,0.9,0.2,1.2,3.1,1.5,4.7,0.5,0.2,0.7,NA,NA,0,0.2,0.1,0.3
"1985-86",52.2,35.2,87.4,17.7,9.6,27.3,NA,NA,0,11.5,5,16.5,8.7,5.2,13.9,2.5,1.1,3.6,NA,NA,0,1.4,0.4,1.8,4.2,2.4,6.6,0.9,0.4,1.3,NA,NA,0,0.4,0.2,0.6
"1990-91",57,40.4,97.4,21.5,12.5,34,NA,NA,0,12.8,6.3,19.1,9.7,6.1,15.8,2.7,1.4,4.2,NA,NA,0,1.7,0.6,2.3,5,2.9,7.9,1.1,0.6,1.7,NA,NA,0,0.6,0.2,0.8
"1991-92",58.6,42.3,100.9,22,13.6,35.6,10,5,15,4.2,2,6.2,9.7,6.3,16,3.1,1.6,4.7,1.3,0.5,1.9,0.5,0.2,0.7,5,3.1,8,1.2,0.6,1.8,0.4,0.2,0.6,0.1,0.1,0.2
"1992-93",57.9,41.7,99.6,21.2,12.9,34.1,10.3,5.5,15.8,4.7,2.2,7,10.3,7,17.4,3.5,1.9,5.4,1.4,0.6,2,0.5,0.2,0.7,5,3.3,8.4,1.3,0.7,2,0.5,0.2,0.7,0.2,0.1,0.3
"1993-94",55.1,41.9,97,20.6,13.5,34.1,10.2,5.6,15.8,5.1,2.5,7.6,10.4,7.2,17.6,3.6,2,5.6,1.4,0.6,2,0.6,0.2,0.8,5.2,3.4,8.6,1.4,0.8,2.2,0.5,0.2,0.7,0.2,0.1,0.3
